Periode,IPC,Viandes,Boissons,Autres produits alimentaires,Entretien-hygiène-beauté,Date,Annee,Mois
2023-12,118.38999938964844,131.13999938964844,119.69999694824219,125.91999816894531,109.01999664306641,2023-12-01,2023,12
2023-11,118.23000335693359,131.44999694824219,119.77999877929688,126.13999938964844,109.26999664306641,2023-11-01,2023,11
2023-10,118.43000030517578,131.24000549316406,119.63999938964844,126.08000183105469,109.33999633789063,2023-10-01,2023,10
2023-09,118.26000213623047,131.46000671386719,119.76999664306641,126.23999786376953,109.16000366210938,2023-09-01,2023,9
2023-08,118.88999938964844,131.83000183105469,120.43000030517578,126.62000274658203,110.18000030517578,2023-08-01,2023,8
2023-07,117.70999908447266,131.61000061035156,120.06999969482422,126.27999877929688,109.75,2023-07-01,2023,7
2023-06,117.65000152587891,131.07000732421875,119.58000183105469,125.87999725341797,109.65000152587891,2023-06-01,2023,6
2023-05,117.44000244140625,131.02999877929688,119.18000030517578,125.58000183105469,109.15000152587891,2023-05-01,2023,5
2023-04,117.5,130.24000549316406,118.19000244140625,124.58000183105469,108.94000244140625,2023-04-01,2023,4
2023-03,116.79000091552734,128.78999328613281,116.52999877929688,122.54000091552734,108.19000244140625,2023-03-01,2023,3
2023-02,115.77999877929688,127.83000183105469,115.05000305175781,120.01000213623047,107.61000061035156,2023-02-01,2023,2
2023-01,114.59999847412109,126.68000030517578,114.16000366210938,118.59999847412109,106.56999969482422,2023-01-01,2023,1
2022-12,114.16000366210938,125.37000274658203,112.93000030517578,117.04000091552734,106.30999755859375,2022-12-01,2022,12
2022-11,114.26000213623047,124.58999633789063,112.55999755859375,116.02999877929688,105.01000213623047,2022-11-01,2022,11
2022-10,113.90000152587891,122.66999816894531,111.40000152587891,114.5,103.25,2022-10-01,2022,10
2022-09,112.73999786376953,120.93000030517578,110.31999969482422,112.66999816894531,101.01999664306641,2022-09-01,2022,9
2022-08,113.37999725341797,120.48000335693359,110.33000183105469,111.95999908447266,101.72000122070313,2022-08-01,2022,8
2022-07,112.87000274658203,118.30000305175781,109.08999633789063,109.79000091552734,100.34999847412109,2022-07-01,2022,7
2022-06,112.55000305175781,116.37000274658203,107.87999725341797,107.98999786376953,99.419998168945313,2022-06-01,2022,6
2022-05,111.72000122070313,114.58999633789063,107.5,107.23000335693359,97.739997863769531,2022-05-01,2022,5
2022-04,110.97000122070313,112.16000366210938,106.63999938964844,105.95999908447266,97.800003051757813,2022-04-01,2022,4
2022-03,110.48999786376953,110.51999664306641,105.38999938964844,104.56999969482422,96.660003662109375,2022-03-01,2022,3
2022-02,108.94000244140625,109.88999938964844,104.73999786376953,103.51999664306641,96.639999389648438,2022-02-01,2022,2
2022-01,108.12000274658203,109.27999877929688,104.55999755859375,103.20999908447266,95.849998474121094,2022-01-01,2022,1
2021-12,107.84999847412109,109.33999633789063,104.37999725341797,103.04000091552734,96.779998779296875,2021-12-01,2021,12
2021-11,107.63999938964844,108.87000274658203,104.36000061035156,102.61000061035156,96.400001525878906,2021-11-01,2021,11
2021-10,107.25,108.51999664306641,103.83000183105469,102.29000091552734,96.040000915527344,2021-10-01,2021,10
2021-09,106.80999755859375,108.44999694824219,103.91999816894531,102.31999969482422,95.839996337890625,2021-09-01,2021,9
2021-08,107.05000305175781,108.88999938964844,104.47000122070313,102.76999664306641,96.819999694824219,2021-08-01,2021,8
2021-07,106.40000152587891,108.55999755859375,104.26000213623047,102.70999908447266,96.55999755859375,2021-07-01,2021,7
2021-06,106.33999633789063,108.52999877929688,104.12999725341797,102.55000305175781,96.779998779296875,2021-06-01,2021,6
2021-05,106.19999694824219,108.05000305175781,104.19999694824219,102.69000244140625,96.089996337890625,2021-05-01,2021,5
2021-04,105.86000061035156,107.93000030517578,104.23999786376953,102.66000366210938,96.199996948242188,2021-04-01,2021,4
2021-03,105.75,107.69000244140625,104.13999938964844,102.63999938964844,96.709999084472656,2021-03-01,2021,3
2021-02,105.12000274658203,107.95999908447266,104.30000305175781,102.23000335693359,96.879997253417969,2021-02-01,2021,2
2021-01,105.12000274658203,107.45999908447266,104.30000305175781,102.36000061035156,96.349998474121094,2021-01-01,2021,1
2020-12,104.95999908447266,108.05000305175781,103.94000244140625,102.52999877929688,97.279998779296875,2020-12-01,2020,12
2020-11,104.73000335693359,107.80000305175781,104.02999877929688,102.52999877929688,96.980003356933594,2020-11-01,2020,11
2020-10,104.51000213623047,107.38999938964844,103.76999664306641,102.5,96.959999084472656,2020-10-01,2020,10
2020-09,104.55000305175781,107.76000213623047,103.94999694824219,102.62999725341797,96.779998779296875,2020-09-01,2020,9
2020-08,105.08999633789063,108.13999938964844,104.40000152587891,103.02999877929688,97.839996337890625,2020-08-01,2020,8
2020-07,105.19000244140625,107.77999877929688,104.15000152587891,103.04000091552734,97.470001220703125,2020-07-01,2020,7
2020-06,104.79000091552734,108.25,104.16000366210938,103.19000244140625,97.019996643066406,2020-06-01,2020,6
2020-05,104.70999908447266,108.33000183105469,104.22000122070313,103.37000274658203,97.319999694824219,2020-05-01,2020,5
2020-04,104.55999755859375,108.05000305175781,104.20999908447266,103.43000030517578,97.660003662109375,2020-04-01,2020,4
2020-03,104.58999633789063,107.72000122070313,104.19999694824219,102.91000366210938,97.489997863769531,2020-03-01,2020,3
2020-02,104.52999877929688,107.37000274658203,104.23999786376953,102.76999664306641,97.739997863769531,2020-02-01,2020,2
2020-01,104.54000091552734,107.41000366210938,104.04000091552734,102.75,97.470001220703125,2020-01-01,2020,1
2019-12,104.98000335693359,107.16999816894531,103.86000061035156,103.01000213623047,98.349998474121094,2019-12-01,2019,12
2019-11,104.51999664306641,106.62000274658203,103.76000213623047,102.91000366210938,98.029998779296875,2019-11-01,2019,11
2019-10,104.45999908447266,105.90000152587891,103.69000244140625,102.87999725341797,98.239997863769531,2019-10-01,2019,10
2019-09,104.5,105.88999938964844,103.66000366210938,102.70999908447266,98.30999755859375,2019-09-01,2019,9
2019-08,104.86000061035156,106.25,103.79000091552734,102.91000366210938,98.489997863769531,2019-08-01,2019,8
2019-07,104.37999725341797,105.18000030517578,103.66000366210938,102.73000335693359,98.389999389648438,2019-07-01,2019,7
2019-06,104.58000183105469,104.69999694824219,103.65000152587891,102.73999786376953,98.370002746582031,2019-06-01,2019,6
2019-05,104.33000183105469,104.26000213623047,103.65000152587891,102.66000366210938,98.269996643066406,2019-05-01,2019,5
2019-04,104.22000122070313,103.65000152587891,103.33999633789063,102.51999664306641,98.470001220703125,2019-04-01,2019,4
2019-03,103.88999938964844,103.69999694824219,103.19000244140625,102.20999908447266,98.449996948242188,2019-03-01,2019,3
2019-02,103.05999755859375,103.69999694824219,102.80999755859375,101.97000122070313,98.580001831054688,2019-02-01,2019,2
2019-01,103.01000213623047,103.05000305175781,102.06999969482422,101.70999908447266,98.629997253417969,2019-01-01,2019,1
2018-12,103.47000122070313,102.93000030517578,102.04000091552734,101.55000305175781,98.660003662109375,2018-12-01,2018,12
2018-11,103.44999694824219,102.77999877929688,101.94000244140625,101.37999725341797,98.260002136230469,2018-11-01,2018,11
2018-10,103.66999816894531,102.33000183105469,101.73999786376953,101.19999694824219,98.180000305175781,2018-10-01,2018,10
2018-09,103.55999755859375,102.52999877929688,101.65000152587891,101.16000366210938,98.110000610351563,2018-09-01,2018,9
2018-08,103.77999877929688,102.80999755859375,101.51999664306641,101.16000366210938,98.410003662109375,2018-08-01,2018,8
2018-07,103.27999877929688,102.33000183105469,100.95999908447266,100.84999847412109,98.19000244140625,2018-07-01,2018,7
2018-06,103.37000274658203,102.30999755859375,100.70999908447266,100.73999786376953,98.319999694824219,2018-06-01,2018,6
2018-05,103.36000061035156,102.34999847412109,100.77999877929688,100.69000244140625,98.629997253417969,2018-05-01,2018,5
2018-04,102.91999816894531,101.91000366210938,100.48000335693359,100.55999755859375,98.650001525878906,2018-04-01,2018,4
2018-03,102.75,102.05000305175781,100.36000061035156,100.38999938964844,98.699996948242188,2018-03-01,2018,3
2018-02,101.72000122070313,101.91000366210938,100.36000061035156,100.30000305175781,98.69000244140625,2018-02-01,2018,2
2018-01,101.75,101.40000152587891,100.36000061035156,100.33999633789063,98.589996337890625,2018-01-01,2018,1
2017-12,101.84999847412109,101.83999633789063,100.20999908447266,100.31999969482422,98.779998779296875,2017-12-01,2017,12
2017-11,101.52999877929688,101.91999816894531,100.37000274658203,100.30000305175781,98.629997253417969,2017-11-01,2017,11
2017-10,101.43000030517578,101.48000335693359,100.30000305175781,100.05000305175781,98.779998779296875,2017-10-01,2017,10
2017-09,101.33000183105469,101.45999908447266,100.33999633789063,100.18000030517578,98.589996337890625,2017-09-01,2017,9
2017-08,101.48999786376953,101.81999969482422,100.41999816894531,100.13999938964844,98.94000244140625,2017-08-01,2017,8
2017-07,100.97000122070313,101.26999664306641,100.43000030517578,100.02999877929688,98.769996643066406,2017-07-01,2017,7
2017-06,101.31999969482422,101.19000244140625,100.36000061035156,99.790000915527344,98.720001220703125,2017-06-01,2017,6
2017-05,101.30999755859375,101.02999877929688,100.37999725341797,99.730003356933594,98.44000244140625,2017-05-01,2017,5
2017-04,101.26000213623047,100.52999877929688,100.19000244140625,99.529998779296875,98.589996337890625,2017-04-01,2017,4
2017-03,101.16999816894531,100.62000274658203,100.16000366210938,99.25,98.769996643066406,2017-03-01,2017,3
2017-02,100.52999877929688,100.44999694824219,100,99.129997253417969,98.790000915527344,2017-02-01,2017,2
2017-01,100.41000366210938,100.41999816894531,99.949996948242188,99.209999084472656,98.769996643066406,2017-01-01,2017,1
2016-12,100.65000152587891,100.52999877929688,99.800003051757813,99.139999389648438,99.019996643066406,2016-12-01,2016,12
2016-11,100.34999847412109,100.48000335693359,99.839996337890625,99.199996948242188,98.839996337890625,2016-11-01,2016,11
2016-10,100.37000274658203,99.870002746582031,99.800003051757813,99.099998474121094,98.94000244140625,2016-10-01,2016,10
2016-09,100.33999633789063,99.949996948242188,99.830001831054688,99.169998168945313,98.839996337890625,2016-09-01,2016,9
2016-08,100.58000183105469,100.52999877929688,99.959999084472656,99.419998168945313,99,2016-08-01,2016,8
2016-07,100.25,100.30999755859375,99.830001831054688,99.339996337890625,98.769996643066406,2016-07-01,2016,7
2016-06,100.62999725341797,100.12999725341797,99.819999694824219,99.5,98.889999389648438,2016-06-01,2016,6
2016-05,100.5,100.43000030517578,99.790000915527344,99.510002136230469,98.830001831054688,2016-05-01,2016,5
2016-04,100.08999633789063,100.22000122070313,99.620002746582031,99.540000915527344,99.029998779296875,2016-04-01,2016,4
2016-03,100.01999664306641,100.19999694824219,99.669998168945313,99.650001525878906,99.129997253417969,2016-03-01,2016,3
2016-02,99.330001831054688,100.19000244140625,99.80999755859375,99.80999755859375,99.279998779296875,2016-02-01,2016,2
2016-01,99.080001831054688,100.18000030517578,99.879997253417969,99.910003662109375,99.279998779296875,2016-01-01,2016,1
2015-12,100.04000091552734,100.69999694824219,99.830001831054688,99.949996948242188,99.660003662109375,2015-12-01,2015,12
2015-11,99.819999694824219,100.41000366210938,99.830001831054688,100.01999664306641,99.639999389648438,2015-11-01,2015,11
2015-10,100.01000213623047,100.11000061035156,99.80999755859375,100.01999664306641,99.769996643066406,2015-10-01,2015,10
2015-09,99.949996948242188,99.970001220703125,99.910003662109375,99.980003356933594,99.849998474121094,2015-09-01,2015,9
2015-08,100.34999847412109,100.41999816894531,100.11000061035156,99.900001525878906,100,2015-08-01,2015,8
2015-07,100.02999877929688,100.11000061035156,100.08000183105469,99.849998474121094,99.849998474121094,2015-07-01,2015,7
2015-06,100.44000244140625,99.94000244140625,100,99.879997253417969,99.80999755859375,2015-06-01,2015,6
2015-05,100.51999664306641,99.849998474121094,100.09999847412109,99.900001525878906,100.08999633789063,2015-05-01,2015,5
2015-04,100.27999877929688,99.580001831054688,100.09999847412109,99.980003356933594,100.29000091552734,2015-04-01,2015,4
2015-03,100.16999816894531,99.620002746582031,100.01999664306641,100.05999755859375,100.26000213623047,2015-03-01,2015,3
2015-02,99.519996643066406,99.760002136230469,100.11000061035156,100.19000244140625,100.38999938964844,2015-02-01,2015,2
2015-01,98.860000610351563,99.529998779296875,100.09999847412109,100.26999664306641,100.40000152587891,2015-01-01,2015,1
